scrape_id,last_scraped,host_since,neighbourhood,price
20200000000000.0,1/2/15,4/10/13,Midtown East,$160.00 
20200000000000.0,1/2/15,6/13/12,Hamilton Heights,$105.00 
20200000000000.0,1/2/15,1/5/13,Bushwick,$58.00 
20200000000000.0,1/3/15,8/11/10,West Village,$185.00 
20200000000000.0,1/2/15,10/15/14,Chelsea,$195.00 
20200000000000.0,1/2/15,1/11/11,Carroll Gardens,$165.00 
20200000000000.0,1/3/15,11/14/12,Bushwick,$80.00 
20200000000000.0,1/2/15,3/14/14,Chinatown,$120.00 
20200000000000.0,1/3/15,12/16/12,East Village,$150.00 
20200000000000.0,1/2/15,2/5/13,Bedford-Stuyvesant,$40.00 
20200000000000.0,1/2/15,4/25/12,Fort Greene,$150.00 
20200000000000.0,1/3/15,12/15/14,Bushwick,$75.00 
20200000000000.0,1/2/15,6/1/11,Midtown,$80.00 
20200000000000.0,1/2/15,11/27/13,Crown Heights,$110.00 
20200000000000.0,1/2/15,7/8/13,Times Square/Theatre District,$189.00 
20200000000000.0,1/2/15,11/27/12,West Village,$200.00 
20200000000000.0,1/2/15,7/25/11,East Village,$95.00 
20200000000000.0,1/2/15,10/10/13,Washington Heights,$125.00 
20200000000000.0,1/3/15,3/5/12,Washington Heights,$35.00 
20200000000000.0,1/3/15,12/6/12,Crown Heights,$165.00 
20200000000000.0,1/3/15,6/20/11,Financial District,$100.00 
20200000000000.0,1/2/15,9/28/14,Harlem,$110.00 
20200000000000.0,1/3/15,10/24/12,Greenpoint,$65.00 
20200000000000.0,1/3/15,12/15/14,Bushwick,$200.00 
20200000000000.0,1/2/15,3/19/14,Upper West Side,$150.00 
20200000000000.0,1/2/15,10/11/13,Chinatown,$300.00 
20200000000000.0,1/2/15,1/2/09,Harlem,$255.00 
20200000000000.0,1/2/15,10/16/14,East Harlem,$150.00 
20200000000000.0,1/2/15,12/18/09,Greenwich Village,$299.00 
20200000000000.0,1/2/15,6/24/12,Soho,$195.00 
20200000000000.0,1/2/15,12/5/13,Civic Center,$365.00 
20200000000000.0,1/2/15,8/10/14,Hell's Kitchen,$105.00 
20200000000000.0,1/2/15,1/20/10,East Village,$225.00 
20200000000000.0,1/2/15,8/26/12,Hamilton Heights,$90.00 
20200000000000.0,1/2/15,11/16/14,Kips Bay,$150.00 
20200000000000.0,1/2/15,4/15/14,Harlem,$125.00 
20200000000000.0,1/3/15,3/30/14,Harlem,$109.00 
20200000000000.0,1/2/15,1/30/14,Chelsea,$400.00 
20200000000000.0,1/3/15,11/9/10,Financial District,$99.00 
20200000000000.0,1/3/15,4/13/13,Harlem,$89.00 
20200000000000.0,1/3/15,12/1/14,Noho,$250.00 
20200000000000.0,1/1/15,11/21/14,Astoria,$80.00 
20200000000000.0,1/3/15,10/20/14,Bushwick,$65.00 
